Statistic,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Social code offences (n.e.c.),Number,15
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Offences against government, justice procedures and organisation of crime",Number,321
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Offences against government and its agents,Number,19
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Organisation of crime and conspiracy to commit crime,Number,1
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Perverting the course of justice,Number,13
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Offences while in custody, breach of court orders",Number,288
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Homicide offences,Number,13
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Murder,Number,5
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Manslaughter,Number,3
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Dangerous driving leading to death,Number,5
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Sexual offences,Number,104
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Rape and sexual assault,Number,88
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Other sexual offences,Number,16
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,918
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Threat to kill or cause serious harm,Number,3
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Harassment and related offences,Number,53
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Assault causing harm, poisoning",Number,339
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Other assault,Number,523
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Dangerous or negligent acts,Number,689
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm,Number,1
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,648
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs,Number,8
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death,Number,4
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty",Number,15
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities,Number,1
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Endangering traffic offences,Number,12
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Kidnapping and related offences,Number,8
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,False imprisonment,Number,8
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Abduction of person under 16 years of age,Number,0
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences",Number,495
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Robbery of an establishment or institution,Number,163
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Robbery of cash or goods in transit,Number,12
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Robbery from the person,Number,310
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Blackmail or extortion,Number,1
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,9
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Burglary and related offences,Number,2616
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Aggravated burglary,Number,30
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Burglary (not aggravated),Number,2539
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand)",Number,47
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Theft and related offences,Number,9420
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences,Number,1930
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Theft from person,Number,1135
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Theft from shop,Number,1917
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Other thefts, handling stolen property",Number,4438
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Fraud, deception and related offences",Number,213
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Controlled drug offences,Number,860
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Importation of drugs,Number,6
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs,Number,1
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Possession of drugs for sale or supply,Number,345
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Possession of drugs for personal use,Number,462
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Other drug offences,Number,46
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Weapons and Explosives Offences,Number,224
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences",Number,0
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Discharging a firearm,Number,19
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Possession of a firearm,Number,33
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.),Number,172
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Fireworks offences,Number,0
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Damage to property and to the environment,Number,3540
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Arson,Number,120
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Criminal damage (not arson),Number,3418
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Litter offences,Number,2
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Public order and other social code offences,Number,3707
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Disorderly conduct,Number,3061
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Trespass offences,Number,221
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Liquor licensing offences,Number,64
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Prostitution offences,Number,57
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences",Number,30
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Social code offences (n.e.c.),Number,274
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime",Number,819
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Offences against government and its agents,Number,12
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,Perverting the course of justice,Number,29
Recorded Crime Offences Under Reservation,2003Q2,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders",Number,778
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Homicide offences,Number,0
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Murder,Number,0
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Manslaughter,Number,0
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Dangerous driving leading to death,Number,0
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Sexual offences,Number,75
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Rape and sexual assault,Number,74
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Other sexual offences,Number,1
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,813
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Threat to kill or cause serious harm,Number,1
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Harassment and related offences,Number,54
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,"Assault causing harm, poisoning",Number,221
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Other assault,Number,537
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Dangerous or negligent acts,Number,763
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Dangerous driving causing serious bodily harm,Number,1
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,729
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs,Number,5
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Endangerment with potential for serious harm/death,Number,2
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,"Abandoning a child, child neglect and cruelty",Number,21
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Endangering traffic offences,Number,5
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Kidnapping and related offences,Number,2
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,False imprisonment,Number,2
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Abduction of person under 16 years of age,Number,0
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,"Robbery, extortion and hijacking offences",Number,44
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Robbery of an establishment or institution,Number,9
Recorded Crime Offences Under Reservation,2003Q2,20 North Western Region,Robbery of cash or goods in transit,Number,0
