Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Total Births,2009,28 years,Not stated,Number,18
Total Births,2009,29 years,Previous liveborn children,Number,4683
Total Births,2009,29 years,0,Number,2280
Total Births,2009,29 years,1,Number,1455
Total Births,2009,29 years,2,Number,578
Total Births,2009,29 years,3,Number,239
Total Births,2009,29 years,4,Number,73
Total Births,2009,29 years,5,Number,29
Total Births,2009,29 years,6,Number,8
Total Births,2009,29 years,7,Number,
Total Births,2009,29 years,8,Number,
Total Births,2009,29 years,9,Number,
Total Births,2009,29 years,10 or more,Number,
Total Births,2009,29 years,Not stated,Number,21
Total Births,2009,30 years,Previous liveborn children,Number,4887
Total Births,2009,30 years,0,Number,2309
Total Births,2009,30 years,1,Number,1578
Total Births,2009,30 years,2,Number,634
Total Births,2009,30 years,3,Number,244
Total Births,2009,30 years,4,Number,65
Total Births,2009,30 years,5,Number,26
Total Births,2009,30 years,6,Number,8
Total Births,2009,30 years,7,Number,5
Total Births,2009,30 years,8,Number,1
Total Births,2009,30 years,9,Number,
Total Births,2009,30 years,10 or more,Number,
Total Births,2009,30 years,Not stated,Number,17
Total Births,2009,31 years,Previous liveborn children,Number,5115
Total Births,2009,31 years,0,Number,2194
Total Births,2009,31 years,1,Number,1796
Total Births,2009,31 years,2,Number,740
Total Births,2009,31 years,3,Number,243
Total Births,2009,31 years,4,Number,78
Total Births,2009,31 years,5,Number,31
Total Births,2009,31 years,6,Number,9
Total Births,2009,31 years,7,Number,3
Total Births,2009,31 years,8,Number,
Total Births,2009,31 years,9,Number,2
Total Births,2009,31 years,10 or more,Number,
Total Births,2009,31 years,Not stated,Number,19
Total Births,2009,32 years,Previous liveborn children,Number,5260
Total Births,2009,32 years,0,Number,2137
Total Births,2009,32 years,1,Number,1883
Total Births,2009,32 years,2,Number,788
Total Births,2009,32 years,3,Number,266
Total Births,2009,32 years,4,Number,93
Total Births,2009,32 years,5,Number,42
Total Births,2009,32 years,6,Number,17
Total Births,2009,32 years,7,Number,
Total Births,2009,32 years,8,Number,3
Total Births,2009,32 years,9,Number,1
Total Births,2009,32 years,10 or more,Number,
Total Births,2009,32 years,Not stated,Number,30
Total Births,2009,33 years,Previous liveborn children,Number,5223
Total Births,2009,33 years,0,Number,1827
Total Births,2009,33 years,1,Number,1960
Total Births,2009,33 years,2,Number,934
Total Births,2009,33 years,3,Number,319
Total Births,2009,33 years,4,Number,88
Total Births,2009,33 years,5,Number,35
Total Births,2009,33 years,6,Number,16
Total Births,2009,33 years,7,Number,8
Total Births,2009,33 years,8,Number,2
Total Births,2009,33 years,9,Number,2
Total Births,2009,33 years,10 or more,Number,
Total Births,2009,33 years,Not stated,Number,32
Total Births,2009,34 years,Previous liveborn children,Number,4921
Total Births,2009,34 years,0,Number,1459
Total Births,2009,34 years,1,Number,1862
Total Births,2009,34 years,2,Number,1038
Total Births,2009,34 years,3,Number,369
Total Births,2009,34 years,4,Number,96
Total Births,2009,34 years,5,Number,38
Total Births,2009,34 years,6,Number,19
Total Births,2009,34 years,7,Number,8
Total Births,2009,34 years,8,Number,6
Total Births,2009,34 years,9,Number,
Total Births,2009,34 years,10 or more,Number,
Total Births,2009,34 years,Not stated,Number,26
Total Births,2009,35 years,Previous liveborn children,Number,4648
Total Births,2009,35 years,0,Number,1250
Total Births,2009,35 years,1,Number,1664
Total Births,2009,35 years,2,Number,1155
Total Births,2009,35 years,3,Number,366
Total Births,2009,35 years,4,Number,129
Total Births,2009,35 years,5,Number,32
Total Births,2009,35 years,6,Number,11
Total Births,2009,35 years,7,Number,5
Total Births,2009,35 years,8,Number,1
Total Births,2009,35 years,9,Number,2
Total Births,2009,35 years,10 or more,Number,3
Total Births,2009,35 years,Not stated,Number,30
Total Births,2009,36 years,Previous liveborn children,Number,4202
Total Births,2009,36 years,0,Number,1000
Total Births,2009,36 years,1,Number,1522
Total Births,2009,36 years,2,Number,1087
Total Births,2009,36 years,3,Number,413
Total Births,2009,36 years,4,Number,93
Total Births,2009,36 years,5,Number,34
Total Births,2009,36 years,6,Number,16
Total Births,2009,36 years,7,Number,3
Total Births,2009,36 years,8,Number,4
Total Births,2009,36 years,9,Number,1
Total Births,2009,36 years,10 or more,Number,2
Total Births,2009,36 years,Not stated,Number,27
Total Births,2009,37 years,Previous liveborn children,Number,3490
Total Births,2009,37 years,0,Number,786
Total Births,2009,37 years,1,Number,1120
Total Births,2009,37 years,2,Number,999
Total Births,2009,37 years,3,Number,404
Total Births,2009,37 years,4,Number,99
Total Births,2009,37 years,5,Number,43
Total Births,2009,37 years,6,Number,14
Total Births,2009,37 years,7,Number,2
Total Births,2009,37 years,8,Number,4
Total Births,2009,37 years,9,Number,6
Total Births,2009,37 years,10 or more,Number,1
Total Births,2009,37 years,Not stated,Number,12
Total Births,2009,38 years,Previous liveborn children,Number,2864
Total Births,2009,38 years,0,Number,590
Total Births,2009,38 years,1,Number,841
Total Births,2009,38 years,2,Number,848
Total Births,2009,38 years,3,Number,379
Total Births,2009,38 years,4,Number,120
Total Births,2009,38 years,5,Number,44
Total Births,2009,38 years,6,Number,12
Total Births,2009,38 years,7,Number,9
Total Births,2009,38 years,8,Number,6
Total Births,2009,38 years,9,Number,2
Total Births,2009,38 years,10 or more,Number,1
Total Births,2009,38 years,Not stated,Number,12
Total Births,2009,39 years,Previous liveborn children,Number,2132
Total Births,2009,39 years,0,Number,392
Total Births,2009,39 years,1,Number,654
Total Births,2009,39 years,2,Number,591
Total Births,2009,39 years,3,Number,308
Total Births,2009,39 years,4,Number,107
Total Births,2009,39 years,5,Number,33
Total Births,2009,39 years,6,Number,13
Total Births,2009,39 years,7,Number,6
Total Births,2009,39 years,8,Number,3
Total Births,2009,39 years,9,Number,6
Total Births,2009,39 years,10 or more,Number,5
Total Births,2009,39 years,Not stated,Number,14
Total Births,2009,40 years,Previous liveborn children,Number,1429
Total Births,2009,40 years,0,Number,272
Total Births,2009,40 years,1,Number,439
Total Births,2009,40 years,2,Number,361
Total Births,2009,40 years,3,Number,202
Total Births,2009,40 years,4,Number,84
Total Births,2009,40 years,5,Number,31
Total Births,2009,40 years,6,Number,15
Total Births,2009,40 years,7,Number,6
Total Births,2009,40 years,8,Number,1
Total Births,2009,40 years,9,Number,3
Total Births,2009,40 years,10 or more,Number,1
Total Births,2009,40 years,Not stated,Number,14
Total Births,2009,41 years,Previous liveborn children,Number,880
Total Births,2009,41 years,0,Number,178
Total Births,2009,41 years,1,Number,259
Total Births,2009,41 years,2,Number,213
Total Births,2009,41 years,3,Number,123
Total Births,2009,41 years,4,Number,53
Total Births,2009,41 years,5,Number,26
Total Births,2009,41 years,6,Number,12
Total Births,2009,41 years,7,Number,6
Total Births,2009,41 years,8,Number,2
Total Births,2009,41 years,9,Number,
Total Births,2009,41 years,10 or more,Number,
Total Births,2009,41 years,Not stated,Number,8
Total Births,2009,42 years,Previous liveborn children,Number,526
Total Births,2009,42 years,0,Number,114
Total Births,2009,42 years,1,Number,155
Total Births,2009,42 years,2,Number,108
Total Births,2009,42 years,3,Number,74
Total Births,2009,42 years,4,Number,39
Total Births,2009,42 years,5,Number,15
Total Births,2009,42 years,6,Number,6
Total Births,2009,42 years,7,Number,6
Total Births,2009,42 years,8,Number,2
Total Births,2009,42 years,9,Number,1
Total Births,2009,42 years,10 or more,Number,3
Total Births,2009,42 years,Not stated,Number,3
Total Births,2009,43 years,Previous liveborn children,Number,301
Total Births,2009,43 years,0,Number,57
Total Births,2009,43 years,1,Number,86
Total Births,2009,43 years,2,Number,71
Total Births,2009,43 years,3,Number,45
Total Births,2009,43 years,4,Number,19
Total Births,2009,43 years,5,Number,9
Total Births,2009,43 years,6,Number,8
Total Births,2009,43 years,7,Number,3
Total Births,2009,43 years,8,Number,1
Total Births,2009,43 years,9,Number,
Total Births,2009,43 years,10 or more,Number,2
Total Births,2009,43 years,Not stated,Number,
Total Births,2009,44 years,Previous liveborn children,Number,157
Total Births,2009,44 years,0,Number,38
Total Births,2009,44 years,1,Number,47
Total Births,2009,44 years,2,Number,30
Total Births,2009,44 years,3,Number,20
Total Births,2009,44 years,4,Number,6
Total Births,2009,44 years,5,Number,7
Total Births,2009,44 years,6,Number,2
Total Births,2009,44 years,7,Number,4
Total Births,2009,44 years,8,Number,
Total Births,2009,44 years,9,Number,
Total Births,2009,44 years,10 or more,Number,1
Total Births,2009,44 years,Not stated,Number,2
Total Births,2009,15 years and under,Previous liveborn children,Number,45
Total Births,2009,15 years and under,0,Number,45
Total Births,2009,15 years and under,1,Number,
Total Births,2009,15 years and under,2,Number,
Total Births,2009,15 years and under,3,Number,
Total Births,2009,15 years and under,4,Number,
Total Births,2009,15 years and under,5,Number,
Total Births,2009,15 years and under,6,Number,
Total Births,2009,15 years and under,7,Number,
Total Births,2009,15 years and under,8,Number,
Total Births,2009,15 years and under,9,Number,
Total Births,2009,15 years and under,10 or more,Number,
Total Births,2009,15 years and under,Not stated,Number,
Total Births,2009,Under 20 years,Previous liveborn children,Number,2249
Total Births,2009,Under 20 years,0,Number,2035
Total Births,2009,Under 20 years,1,Number,191
Total Births,2009,Under 20 years,2,Number,13
Total Births,2009,Under 20 years,3,Number,2
Total Births,2009,Under 20 years,4,Number,
Total Births,2009,Under 20 years,5,Number,
Total Births,2009,Under 20 years,6,Number,
Total Births,2009,Under 20 years,7,Number,
Total Births,2009,Under 20 years,8,Number,
Total Births,2009,Under 20 years,9,Number,
Total Births,2009,Under 20 years,10 or more,Number,
Total Births,2009,Under 20 years,Not stated,Number,8
Total Births,2009,20 - 24 years,Previous liveborn children,Number,8844
Total Births,2009,20 - 24 years,0,Number,5797
Total Births,2009,20 - 24 years,1,Number,2304
Total Births,2009,20 - 24 years,2,Number,557
Total Births,2009,20 - 24 years,3,Number,137
Total Births,2009,20 - 24 years,4,Number,21
Total Births,2009,20 - 24 years,5,Number,1
Total Births,2009,20 - 24 years,6,Number,1
Total Births,2009,20 - 24 years,7,Number,
Total Births,2009,20 - 24 years,8,Number,
Total Births,2009,20 - 24 years,9,Number,
Total Births,2009,20 - 24 years,10 or more,Number,
Total Births,2009,20 - 24 years,Not stated,Number,26
Total Births,2009,25 - 29 years,Previous liveborn children,Number,18231
Total Births,2009,25 - 29 years,0,Number,9352
Total Births,2009,25 - 29 years,1,Number,5646
Total Births,2009,25 - 29 years,2,Number,2102
Total Births,2009,25 - 29 years,3,Number,732
Total Births,2009,25 - 29 years,4,Number,212
Total Births,2009,25 - 29 years,5,Number,75
Total Births,2009,25 - 29 years,6,Number,23
Total Births,2009,25 - 29 years,7,Number,7
Total Births,2009,25 - 29 years,8,Number,1
Total Births,2009,25 - 29 years,9,Number,
Total Births,2009,25 - 29 years,10 or more,Number,
Total Births,2009,25 - 29 years,Not stated,Number,81
Total Births,2009,30 - 34 years,Previous liveborn children,Number,25406
Total Births,2009,30 - 34 years,0,Number,9926
Total Births,2009,30 - 34 years,1,Number,9079
Total Births,2009,30 - 34 years,2,Number,4134
Total Births,2009,30 - 34 years,3,Number,1441
Total Births,2009,30 - 34 years,4,Number,420
Total Births,2009,30 - 34 years,5,Number,172
Total Births,2009,30 - 34 years,6,Number,69
Total Births,2009,30 - 34 years,7,Number,24
Total Births,2009,30 - 34 years,8,Number,12
Total Births,2009,30 - 34 years,9,Number,5
Total Births,2009,30 - 34 years,10 or more,Number,
Total Births,2009,30 - 34 years,Not stated,Number,124
Total Births,2009,35 - 39 years,Previous liveborn children,Number,17336
Total Births,2009,35 - 39 years,0,Number,4018
Total Births,2009,35 - 39 years,1,Number,5801
Total Births,2009,35 - 39 years,2,Number,4680
Total Births,2009,35 - 39 years,3,Number,1870
Total Births,2009,35 - 39 years,4,Number,548
Total Births,2009,35 - 39 years,5,Number,186
Total Births,2009,35 - 39 years,6,Number,66
Total Births,2009,35 - 39 years,7,Number,25
Total Births,2009,35 - 39 years,8,Number,18
Total Births,2009,35 - 39 years,9,Number,17
Total Births,2009,35 - 39 years,10 or more,Number,12
Total Births,2009,35 - 39 years,Not stated,Number,95
Total Births,2009,40 - 44 years,Previous liveborn children,Number,3293
Total Births,2009,40 - 44 years,0,Number,659
Total Births,2009,40 - 44 years,1,Number,986
Total Births,2009,40 - 44 years,2,Number,783
Total Births,2009,40 - 44 years,3,Number,464
Total Births,2009,40 - 44 years,4,Number,201
Total Births,2009,40 - 44 years,5,Number,88
Total Births,2009,40 - 44 years,6,Number,43
Total Births,2009,40 - 44 years,7,Number,25
Total Births,2009,40 - 44 years,8,Number,6
Total Births,2009,40 - 44 years,9,Number,4
Total Births,2009,40 - 44 years,10 or more,Number,7
Total Births,2009,40 - 44 years,Not stated,Number,27
Total Births,2009,45 years and over,Previous liveborn children,Number,163
Total Births,2009,45 years and over,0,Number,45
Total Births,2009,45 years and over,1,Number,43
Total Births,2009,45 years and over,2,Number,36
Total Births,2009,45 years and over,3,Number,14
Total Births,2009,45 years and over,4,Number,12
Total Births,2009,45 years and over,5,Number,6
Total Births,2009,45 years and over,6,Number,
Total Births,2009,45 years and over,7,Number,1
Total Births,2009,45 years and over,8,Number,3
Total Births,2009,45 years and over,9,Number,
Total Births,2009,45 years and over,10 or more,Number,1
Total Births,2009,45 years and over,Not stated,Number,2
Total Births,2009,Age not stated,Previous liveborn children,Number,32
Total Births,2009,Age not stated,0,Number,11
Total Births,2009,Age not stated,1,Number,12
Total Births,2009,Age not stated,2,Number,6
Total Births,2009,Age not stated,3,Number,1
Total Births,2009,Age not stated,4,Number,1
Total Births,2009,Age not stated,5,Number,
Total Births,2009,Age not stated,6,Number,
Total Births,2009,Age not stated,7,Number,
Total Births,2009,Age not stated,8,Number,
Total Births,2009,Age not stated,9,Number,
Total Births,2009,Age not stated,10 or more,Number,
Total Births,2009,Age not stated,Not stated,Number,1
Total Births,2009,All ages,Previous liveborn children,Number,75554
Total Births,2009,All ages,0,Number,31843
Total Births,2009,All ages,1,Number,24062
Total Births,2009,All ages,2,Number,12311
Total Births,2009,All ages,3,Number,4661
Total Births,2009,All ages,4,Number,1415
Total Births,2009,All ages,5,Number,528
Total Births,2009,All ages,6,Number,202
Total Births,2009,All ages,7,Number,82
Total Births,2009,All ages,8,Number,40
Total Births,2009,All ages,9,Number,26
Total Births,2009,All ages,10 or more,Number,20
Total Births,2009,All ages,Not stated,Number,364
Total Births,2010,16 years,Previous liveborn children,Number,115
Total Births,2010,16 years,0,Number,110
Total Births,2010,16 years,1,Number,5
Total Births,2010,16 years,2,Number,
Total Births,2010,16 years,3,Number,
Total Births,2010,16 years,4,Number,
Total Births,2010,16 years,5,Number,
Total Births,2010,16 years,6,Number,
Total Births,2010,16 years,7,Number,
Total Births,2010,16 years,8,Number,
Total Births,2010,16 years,9,Number,
Total Births,2010,16 years,10 or more,Number,
Total Births,2010,16 years,Not stated,Number,
Total Births,2010,17 years,Previous liveborn children,Number,311
Total Births,2010,17 years,0,Number,297
Total Births,2010,17 years,1,Number,14
Total Births,2010,17 years,2,Number,
Total Births,2010,17 years,3,Number,
Total Births,2010,17 years,4,Number,
